"key","en","de","es","fr","it","pt-br","ja","ko","zh-hans","zh-hant"
"home.about.body","Welcome to Kotobuki town, a quaint community currently being gobbled up acre by acre by dastardly big-city landsharks. It’s also your new home. Do you have what it takes to bring the locals together and save their beloved sushi bar?

Inspired by slice-of-life anime, Sushi Ben is a sweet, funny and bombastic narrative adventure about finding your feet in a new town (and sticking it to landlords while you’re at it). 

Featuring a gorgeous seaside setting, eye-popping 3D manga panels, a fully voiced cast of colorful characters, and plenty of minigames – fishing, archery, dog walking, and even ghost hunting...!?  

With narrative talents of Hato Moa (Hatoful Boyfriend) and voice acting by Laura Post (Little Witch Academia), Ryan Colt Levy (Chainsaw Man), AJ Beckles (Dandadan) and many more!","Willkommen in Kotobuki Town, einer malerischen Gemeinde, die gerade Stück für Stück von durchtriebenen Großstadt-Haien aufgekauft wird. Es ist auch dein neues Zuhause. Hast du das Zeug dazu, die Einheimischen zusammenzubringen und ihre geliebte Sushibar zu retten?

Inspiriert von Slice-of-Life-Anime ist Sushi Ben ein süßes, witziges und bombastisches Erzählabenteuer darüber, in einer neuen Stadt Fuß zu fassen (und es nebenbei den Vermietern zu zeigen). 

Mit einem wunderschönen Küsten-Schauplatz, auffälligen 3D-Manga-Panels, einer vollständig vertonten Riege bunter Figuren und vielen Minispielen – Angeln, Bogenschießen, Gassigehen und sogar Geisterjagd...!?  

Mit der erzählerischen Handschrift von Hato Moa (Hatoful Boyfriend) und Sprecher*innen wie Laura Post (Little Witch Academia), Ryan Colt Levy (Chainsaw Man), AJ Beckles (Dandadan) und vielen mehr!","Bienvenido a Kotobuki Town, una pintoresca comunidad que los despiadados tiburones inmobiliarios de la gran ciudad están devorando parcela por parcela. También es tu nuevo hogar. ¿Tienes lo necesario para unir a la gente del lugar y salvar su querido bar de sushi?

Inspirado en los anime slice‑of‑life, Sushi Ben es una aventura narrativa dulce, divertida y explosiva sobre encontrar tu lugar en una ciudad nueva (y de paso darle su merecido a los caseros). 

Con un precioso entorno costero, llamativos paneles de manga en 3D, un reparto de personajes colorido con doblaje completo y montones de minijuegos: pesca, tiro con arco, paseos con perros e incluso caza de fantasmas...!?  

Con la pluma de Hato Moa (Hatoful Boyfriend) y las voces de Laura Post (Little Witch Academia), Ryan Colt Levy (Chainsaw Man), AJ Beckles (Dandadan) y muchos más.","Bienvenue à Kotobuki Town, une charmante bourgade que des requins immobiliers de la grande ville dévorent parcelle après parcelle. C’est aussi ta nouvelle maison. Saura-tu rassembler les habitant·e·s pour sauver leur bar à sushis adoré ?

Inspiré par les anime slice‑of‑life, Sushi Ben est une aventure narrative douce, drôle et explosive sur le fait de trouver sa place dans une nouvelle ville (et de donner une leçon aux propriétaires au passage). 

Avec un magnifique décor en bord de mer, des planches de manga 3D éclatantes, un casting haut en couleur entièrement doublé et plein de mini-jeux – pêche, tir à l’arc, promenade de chiens et même chasse aux fantômes...!?  

Scénario de Hato Moa (Hatoful Boyfriend) et doublage par Laura Post (Little Witch Academia), Ryan Colt Levy (Chainsaw Man), AJ Beckles (Dandadan) et bien d’autres !","Benvenuto a Kotobuki Town, una pittoresca comunità che i famelici squali d’affari della grande città stanno divorando ettaro dopo ettaro. È anche la tua nuova casa. Hai quello che serve per unire i locali e salvare il loro amato sushi bar?

Ispirato agli anime slice‑of‑life, Sushi Ben è una dolce, spassosa e roboante avventura narrativa su come ambientarsi in una nuova città (e dare una lezione ai proprietari mentre ci sei). 

Con una splendida ambientazione sul mare, appariscenti pannelli manga 3D, un cast di personaggi variopinti completamente doppiato e tanti minigiochi – pesca, tiro con l’arco, passeggiate con i cani e persino caccia ai fantasmi...!?  

Narrazione di Hato Moa (Hatoful Boyfriend) e doppiaggio di Laura Post (Little Witch Academia), Ryan Colt Levy (Chainsaw Man), AJ Beckles (Dandadan) e molti altri!","Bemâ€‘vindo a Kotobuki Town, uma cidadezinha charmosa que estÃ¡ sendo engolida, quarteirÃ£o por quarteirÃ£o, por verdadeiros tubarÃµes do mercado. TambÃ©m Ã© o seu novo lar. VocÃª consegue unir os moradores e salvar o sushi bar queridinho da cidade?

Inspirado em animes sliceâ€‘ofâ€‘life, Sushi Ben Ã© uma aventura narrativa doce, divertida e explosiva sobre encontrar seu lugar em uma cidade nova (e dar um chega pra lÃ¡ nos proprietÃ¡rios no processo).Â 

Com um belÃ­ssimo cenÃ¡rio litorÃ¢neo, painÃ©is de mangÃ¡ 3D de encher os olhos, elenco supercolorido com dublagem completa e vÃ¡rios minigames â€” pesca, arco e flecha, passeio com cachorros e atÃ© caÃ§a a fantasmas...!?Â Â 

Roteiro de Hato Moa (Hatoful Boyfriend) e vozes de Laura Post (Little Witch Academia), Ryan Colt Levy (Chainsaw Man), AJ Beckles (Dandadan) e muito mais!","コトブキ町へようこそ。のどかなこの町は、強欲な都会の地上げ屋たちに一筆ずつ食い荒らされています。ここはあなたの新しい故郷でもあります。町の人々を力を合わせて、愛される寿司屋を救えるでしょうか？

日常系アニメに着想を得たSushi Benは、新しい町で居場所を見つけていく——そしてついでに大家にも一泡吹かせる——甘くて愉快でド派手なナラティブアドベンチャーです。 

美しい海辺のロケーション、目を奪う3Dマンガパネル、個性豊かなキャラクターのフルボイス、そして釣り・アーチェリー・犬の散歩・果てはゴーストハントまで——ミニゲームも盛りだくさん！  

Hato Moa（Hatoful Boyfriend）による脚本、Laura Post（Little Witch Academia）、Ryan Colt Levy（Chainsaw Man）、AJ Beckles（Dandadan）ほか豪華声優陣が参加！","코토부키 타운에 오신 것을 환영합니다. 이 아담한 마을은 교활한 대도시 지주들에게 한 평, 한 평씩 잠식되고 있습니다. 이곳은 이제 당신의 새로운 보금자리이기도 하죠. 마을 사람들을 하나로 모아 그들이 사랑하는 스시 바를 구할 수 있을까요?

일상물 애니메이션에서 영감을 받은 Sushi Ben은 새로운 도시에 적응해 가는 이야기이자 (그리고 그 와중에 집주인들에게 한 방 먹이는) 달콤하고 유쾌하며 박진감 넘치는 내러티브 어드벤처입니다. 

아름다운 해변 배경, 시선을 사로잡는 3D 만화 패널, 다채로운 캐릭터의 풀 보이스 연기, 그리고 풍성한 미니게임 – 낚시, 양궁, 강아지 산책, 심지어 유령 사냥까지...!?  

Hato Moa (Hatoful Boyfriend])의 스토리와 Laura Post (Little Witch Academia), Ryan Colt Levy (Chainsaw Man), AJ Beckles (Dandadan) 등 많은 성우들의 열연이 함께합니다!","欢迎来到寿木町（Kotobuki Town）——这座恬静的小镇正被城里的地产“鲨鱼”一口一口吞下。这里也是你的新家。你能号召镇民一起，拯救他们心爱的寿司店吗？

受日常向动画启发，Sushi Ben是一段温馨、搞笑又夸张的叙事冒险，讲述在新城镇站稳脚跟的故事（顺便也要给房东点颜色看看）。 

海边美景、夺目的3D漫画分镜、色彩鲜明的全程配音角色，以及丰富的小游戏——钓鱼、射箭、遛狗，甚至还有捉鬼……!?  

由Hato Moa（Hatoful Boyfriend）担任剧情，Laura Post（Little Witch Academia）、Ryan Colt Levy（Chainsaw Man）、AJ Beckles（Dandadan）等众多声优献声！","歡迎來到壽木町（Kotobuki Town）——這座恬靜小鎮正被城裡的地產「鯊魚」一口口吞下。這裡也是你的新家。你能號召鎮民一起，拯救他們最愛的壽司店嗎？

靈感源自日常向動畫，Sushi Ben是一段溫馨、逗趣且張力十足的敘事冒險，描繪在新城鎮落腳的歷程（順便讓房東吃點苦頭）。 

海濱美景、耀眼的 3D 漫畫分鏡、色彩鮮明的全程配音角色，以及豐富的迷你遊戲——釣魚、射箭、溜狗，甚至還有捉鬼……!?  

由Hato Moa（Hatoful Boyfriend）擔綱劇情，Laura Post（Little Witch Academia）、Ryan Colt Levy（Chainsaw Man）、AJ Beckles（Dandadan）等眾多聲優獻聲！"
"home.about.title","About This Game","Über dieses Spiel","Acerca de este juego","À propos de ce jeu","Informazioni sul gioco","Sobre este jogo","このゲームについて","게임 정보","关于这款游戏","關於此遊戲"
"home.buy.subtitle","Choose your platform:","Choose your platform:","Choose your platform:","Choose your platform:","Choose your platform:","Choose your platform:","Choose your platform:","Choose your platform:","Choose your platform:","Choose your platform:"
"home.buy.title","Available Now","Available Now","Available Now","Available Now","Available Now","Available Now","Available Now","Available Now","Available Now","Available Now"
"home.contact.subtitle","For press, business, or support inquiries, send a message below.","For press, business, or support inquiries, send a message below.","For press, business, or support inquiries, send a message below.","For press, business, or support inquiries, send a message below.","For press, business, or support inquiries, send a message below.","For press, business, or support inquiries, send a message below.","For press, business, or support inquiries, send a message below.","For press, business, or support inquiries, send a message below.","For press, business, or support inquiries, send a message below.","For press, business, or support inquiries, send a message below."
"home.contact.title","Contact","Contact","Contact","Contact","Contact","Contact","Contact","Contact","Contact","Contact"
"home.cta.buy","Get Sushi Ben","Get Sushi Ben","Get Sushi Ben","Get Sushi Ben","Get Sushi Ben","Get Sushi Ben","Get Sushi Ben","Get Sushi Ben","Get Sushi Ben","Get Sushi Ben"
"home.cta.watch","Watch Trailer","Watch Trailer","Watch Trailer","Watch Trailer","Watch Trailer","Watch Trailer","Watch Trailer","Watch Trailer","Watch Trailer","Watch Trailer"
"home.feature.comfort.body","Designed for approachable VR sessions with clear interactions and a welcoming pace.","Designed for approachable VR sessions with clear interactions and a welcoming pace.","Designed for approachable VR sessions with clear interactions and a welcoming pace.","Designed for approachable VR sessions with clear interactions and a welcoming pace.","Designed for approachable VR sessions with clear interactions and a welcoming pace.","Designed for approachable VR sessions with clear interactions and a welcoming pace.","Designed for approachable VR sessions with clear interactions and a welcoming pace.","Designed for approachable VR sessions with clear interactions and a welcoming pace.","Designed for approachable VR sessions with clear interactions and a welcoming pace.","Designed for approachable VR sessions with clear interactions and a welcoming pace."
"home.feature.comfort.title","Comfortable, Accessible Play","Comfortable, Accessible Play","Comfortable, Accessible Play","Comfortable, Accessible Play","Comfortable, Accessible Play","Comfortable, Accessible Play","Comfortable, Accessible Play","Comfortable, Accessible Play","Comfortable, Accessible Play","Comfortable, Accessible Play"
"home.feature.manga.body","Step into stylized scenes that blend comic aesthetics with immersive VR interaction.","Step into stylized scenes that blend comic aesthetics with immersive VR interaction.","Step into stylized scenes that blend comic aesthetics with immersive VR interaction.","Step into stylized scenes that blend comic aesthetics with immersive VR interaction.","Step into stylized scenes that blend comic aesthetics with immersive VR interaction.","Step into stylized scenes that blend comic aesthetics with immersive VR interaction.","Step into stylized scenes that blend comic aesthetics with immersive VR interaction.","Step into stylized scenes that blend comic aesthetics with immersive VR interaction.","Step into stylized scenes that blend comic aesthetics with immersive VR interaction.","Step into stylized scenes that blend comic aesthetics with immersive VR interaction."
"home.feature.manga.title","Manga-Inspired Presentation","Manga-Inspired Presentation","Manga-Inspired Presentation","Manga-Inspired Presentation","Manga-Inspired Presentation","Manga-Inspired Presentation","Manga-Inspired Presentation","Manga-Inspired Presentation","Manga-Inspired Presentation","Manga-Inspired Presentation"
"home.feature.story.body","Meet quirky locals, build trust, and uncover what makes Kotobuki Town worth fighting for.","Meet quirky locals, build trust, and uncover what makes Kotobuki Town worth fighting for.","Meet quirky locals, build trust, and uncover what makes Kotobuki Town worth fighting for.","Meet quirky locals, build trust, and uncover what makes Kotobuki Town worth fighting for.","Meet quirky locals, build trust, and uncover what makes Kotobuki Town worth fighting for.","Meet quirky locals, build trust, and uncover what makes Kotobuki Town worth fighting for.","Meet quirky locals, build trust, and uncover what makes Kotobuki Town worth fighting for.","Meet quirky locals, build trust, and uncover what makes Kotobuki Town worth fighting for.","Meet quirky locals, build trust, and uncover what makes Kotobuki Town worth fighting for.","Meet quirky locals, build trust, and uncover what makes Kotobuki Town worth fighting for."
"home.feature.story.title","Story-Driven Adventure","Story-Driven Adventure","Story-Driven Adventure","Story-Driven Adventure","Story-Driven Adventure","Story-Driven Adventure","Story-Driven Adventure","Story-Driven Adventure","Story-Driven Adventure","Story-Driven Adventure"
"home.feature.voice.body","Enjoy performances that bring each character and their personal stakes to life.","Enjoy performances that bring each character and their personal stakes to life.","Enjoy performances that bring each character and their personal stakes to life.","Enjoy performances that bring each character and their personal stakes to life.","Enjoy performances that bring each character and their personal stakes to life.","Enjoy performances that bring each character and their personal stakes to life.","Enjoy performances that bring each character and their personal stakes to life.","Enjoy performances that bring each character and their personal stakes to life.","Enjoy performances that bring each character and their personal stakes to life.","Enjoy performances that bring each character and their personal stakes to life."
"home.feature.voice.title","Voice-Acted Characters","Voice-Acted Characters","Voice-Acted Characters","Voice-Acted Characters","Voice-Acted Characters","Voice-Acted Characters","Voice-Acted Characters","Voice-Acted Characters","Voice-Acted Characters","Voice-Acted Characters"
"home.features.title","Highlights","Highlights","Highlights","Highlights","Highlights","Highlights","Highlights","Highlights","Highlights","Highlights"
"home.form.email","Email","Email","Email","Email","Email","Email","Email","Email","Email","Email"
"home.form.message","Message","Message","Message","Message","Message","Message","Message","Message","Message","Message"
"home.form.name","Name","Name","Name","Name","Name","Name","Name","Name","Name","Name"
"home.form.submit","Send Message","Send Message","Send Message","Send Message","Send Message","Send Message","Send Message","Send Message","Send Message","Send Message"
"home.hero.lede","Experience Kotobuki Town through expressive manga-style moments, voice-acted characters, and a warm story about community.","Experience Kotobuki Town through expressive manga-style moments, voice-acted characters, and a warm story about community.","Experience Kotobuki Town through expressive manga-style moments, voice-acted characters, and a warm story about community.","Experience Kotobuki Town through expressive manga-style moments, voice-acted characters, and a warm story about community.","Experience Kotobuki Town through expressive manga-style moments, voice-acted characters, and a warm story about community.","Experience Kotobuki Town through expressive manga-style moments, voice-acted characters, and a warm story about community.","Experience Kotobuki Town through expressive manga-style moments, voice-acted characters, and a warm story about community.","Experience Kotobuki Town through expressive manga-style moments, voice-acted characters, and a warm story about community.","Experience Kotobuki Town through expressive manga-style moments, voice-acted characters, and a warm story about community.","Experience Kotobuki Town through expressive manga-style moments, voice-acted characters, and a warm story about community."
"home.hero.title","Save a Sushi Bar, One Heartfelt Story at a Time.","Save a Sushi Bar, One Heartfelt Story at a Time.","Save a Sushi Bar, One Heartfelt Story at a Time.","Save a Sushi Bar, One Heartfelt Story at a Time.","Save a Sushi Bar, One Heartfelt Story at a Time.","Save a Sushi Bar, One Heartfelt Story at a Time.","Save a Sushi Bar, One Heartfelt Story at a Time.","Save a Sushi Bar, One Heartfelt Story at a Time.","Save a Sushi Bar, One Heartfelt Story at a Time.","Save a Sushi Bar, One Heartfelt Story at a Time."
"home.kicker","Narrative VR Adventure","Narrative VR Adventure","Narrative VR Adventure","Narrative VR Adventure","Narrative VR Adventure","Narrative VR Adventure","Narrative VR Adventure","Narrative VR Adventure","Narrative VR Adventure","Narrative VR Adventure"
"home.media.title","Trailer & Screenshots","Trailer & Screenshots","Trailer & Screenshots","Trailer & Screenshots","Trailer & Screenshots","Trailer & Screenshots","Trailer & Screenshots","Trailer & Screenshots","Trailer & Screenshots","Trailer & Screenshots"
"home.translation_note","","","","","","","Japanese localization scaffold is active. Final translated copy will be added later.","","",""
"lang.summary","Language: {language}","Language: {language}","Language: {language}","Language: {language}","Language: {language}","Language: {language}","Language: {language}","Language: {language}","Language: {language}","Language: {language}"
"legal.back_home","Back to Home","Back to Home","Back to Home","Back to Home","Back to Home","Back to Home","Back to Home","Back to Home","Back to Home","Back to Home"
"legal.eula.description","End User License Agreement for Sushi Ben.","End User License Agreement for Sushi Ben.","End User License Agreement for Sushi Ben.","End User License Agreement for Sushi Ben.","End User License Agreement for Sushi Ben.","End User License Agreement for Sushi Ben.","End User License Agreement for Sushi Ben.","End User License Agreement for Sushi Ben.","End User License Agreement for Sushi Ben.","End User License Agreement for Sushi Ben."
"legal.eula.title","EULA","EULA","EULA","EULA","EULA","EULA","EULA","EULA","EULA","EULA"
"legal.privacy.description","Privacy Policy for Sushi Ben.","Privacy Policy for Sushi Ben.","Privacy Policy for Sushi Ben.","Privacy Policy for Sushi Ben.","Privacy Policy for Sushi Ben.","Privacy Policy for Sushi Ben.","Privacy Policy for Sushi Ben.","Privacy Policy for Sushi Ben.","Privacy Policy for Sushi Ben.","Privacy Policy for Sushi Ben."
"legal.privacy.title","Privacy Policy","Privacy Policy","Privacy Policy","Privacy Policy","Privacy Policy","Privacy Policy","Privacy Policy","Privacy Policy","Privacy Policy","Privacy Policy"
"nav.about","About","About","About","About","About","About","About","About","About","About"
"nav.buy","Buy","Buy","Buy","Buy","Buy","Buy","Buy","Buy","Buy","Buy"
"nav.contact","Contact","Contact","Contact","Contact","Contact","Contact","Contact","Contact","Contact","Contact"
"nav.features","Features","Features","Features","Features","Features","Features","Features","Features","Features","Features"
"nav.media","Media","Media","Media","Media","Media","Media","Media","Media","Media","Media"
"site.description","Sushi Ben is a narrative VR adventure set in Kotobuki Town. Explore, meet locals, and help save a beloved sushi bar.","Sushi Ben is a narrative VR adventure set in Kotobuki Town. Explore, meet locals, and help save a beloved sushi bar.","Sushi Ben is a narrative VR adventure set in Kotobuki Town. Explore, meet locals, and help save a beloved sushi bar.","Sushi Ben is a narrative VR adventure set in Kotobuki Town. Explore, meet locals, and help save a beloved sushi bar.","Sushi Ben is a narrative VR adventure set in Kotobuki Town. Explore, meet locals, and help save a beloved sushi bar.","Sushi Ben is a narrative VR adventure set in Kotobuki Town. Explore, meet locals, and help save a beloved sushi bar.","Sushi Ben is a narrative VR adventure set in Kotobuki Town. Explore, meet locals, and help save a beloved sushi bar.","Sushi Ben is a narrative VR adventure set in Kotobuki Town. Explore, meet locals, and help save a beloved sushi bar.","Sushi Ben is a narrative VR adventure set in Kotobuki Town. Explore, meet locals, and help save a beloved sushi bar.","Sushi Ben is a narrative VR adventure set in Kotobuki Town. Explore, meet locals, and help save a beloved sushi bar."
"site.title","Sushi Ben | Story-Rich VR Adventure","Sushi Ben | Story-Rich VR Adventure","Sushi Ben | Story-Rich VR Adventure","Sushi Ben | Story-Rich VR Adventure","Sushi Ben | Story-Rich VR Adventure","Sushi Ben | Story-Rich VR Adventure","Sushi Ben | Story-Rich VR Adventure","Sushi Ben | Story-Rich VR Adventure","Sushi Ben | Story-Rich VR Adventure","Sushi Ben | Story-Rich VR Adventure"
"locale.name.zh-hans","中文（简体）","中文（简体）","中文（简体）","中文（简体）","中文（简体）","中文（简体）","中文（简体）","中文（简体）","中文（简体）","中文（简体）"
"locale.name.zh-hant","中文（繁體）","中文（繁體）","中文（繁體）","中文（繁體）","中文（繁體）","中文（繁體）","中文（繁體）","中文（繁體）","中文（繁體）","中文（繁體）"
